Camera ID,Location Name,Camera Status,Turn on Date,Camera Manufacturer,ATD Location ID,Landmark,Signal Engineer Area,Council District,Jurisdiction,Location Type,Primary St Segment ID,Cross St Segment ID,Primary Street Block,Primary Street,PRIMARY_ST_AKA,Cross Street Block,Cross Street,CROSS_ST_AKA,COA Intersection ID,Modified Date,Location,IP Comm Status,IP Comm Status Date and Time,Longitude,Latitude,Published Screenshots,Screenshot Address
7,PEARCE LN / KELLAM RD,TURNED_ON,10/15/2016,Sarix,LOC16-000500,,SOUTHEAST,2,AUSTIN 2 MILE ETJ,ROADWAY,,,13400,PEARCE LN,,6001,KELLAM RD,,5168571,11/18/2016 11:39:00 PM +0000,"(30.163688, -97.611196)",ONLINE,01/09/2018 03:32:00 AM +0000,-97.611196,30.163688,,http://162.89.4.145/CCTVImages/CCTV7.jpg
12,ROSS RD / SAINT THOMAS DR,TURNED_ON,11/16/2016,Spectra Enhanced,LOC16-004705,,SOUTHEAST,2,AUSTIN 2 MILE ETJ,ROADWAY,,,4500,ROSS RD,,12818,SAINT THOMAS DR,,5168394,,"(30.1783047, -97.6151962)",ONLINE,01/09/2018 03:32:00 AM +0000,-97.6151962,30.1783047,,http://162.89.4.145/CCTVImages/CCTV12.jpg
13,RIVERSIDE DR / ROYAL CREST DR,TURNED_ON,11/16/2016,Spectra Enhanced,LOC16-001845,,SOUTHWEST,3,AUSTIN FULL PURPOSE,ROADWAY,,,1818,RIVERSIDE DR,,1401,ROYAL CREST DR,,5159157,,"(30.241785, -97.7282867)",ONLINE,01/09/2018 03:32:00 AM +0000,-97.7282867,30.241785,,http://162.89.4.145/CCTVImages/CCTV13.jpg
17,SPICEWOOD SPRINGS RD / MOPAC EXPY SVRD,TURNED_ON,11/16/2016,Spectra Enhanced,LOC16-000485,,NORTHWEST,10,AUSTIN FULL PURPOSE,ROADWAY,,,3501,SPICEWOOD SPRINGS RD,,7740,MOPAC EXPY SVRD,,5156212,,"(30.3612633, -97.7452316)",ONLINE,01/09/2018 03:31:00 AM +0000,-97.7452316,30.3612633,,http://162.89.4.145/CCTVImages/CCTV17.jpg
1,"830 BLK W RUNDBERG LN (Little Walnut Creek Library, HEB)",TURNED_ON,11/18/2016,Sarix,LOC16-005090,"Little Walnut Creek Library, HEB",NORTHEAST,4,AUSTIN FULL PURPOSE,BUILDING,,,830,RUNDBERG LN,,,,,,02/14/2017 05:02:00 PM +0000,"(30.3636856, -97.6981583)",ONLINE,03/07/2018 03:30:00 PM +0000,-97.6981583,30.3636856,,http://162.89.4.145/CCTVImages/CCTV1.jpg
19,BRAKER LN / LAMAR BLVD,TURNED_ON,11/16/2016,Spectra Enhanced,LOC16-002300,,NORTHEAST,"7,4",AUSTIN FULL PURPOSE,BUILDING,,,700,BRAKER LN,,11300,LAMAR BLVD,,5163282,12/28/2016 04:19:00 PM +0000,"(30.3819351, -97.6863708)",ONLINE,03/20/2018 01:30:00 PM +0000,-97.6863708,30.3819351,,http://162.89.4.145/CCTVImages/CCTV19.jpg
14,OLTORF ST / PLEASANT VALLEY RD,TURNED_ON,11/16/2016,Spectra Enhanced,LOC16-004365,,SOUTHWEST,3,AUSTIN FULL PURPOSE,ROADWAY,,,2510,OLTORF ST,,2400,PLEASANT VALLEY RD,,5159261,,"(30.227459, -97.7277679)",ONLINE,03/29/2018 08:30:00 AM +0000,-97.7277679,30.227459,,http://162.89.4.145/CCTVImages/CCTV14.jpg
8,WEST GATE BLVD / WILLIAM CANNON DR,TURNED_ON,11/16/2016,Spectra Enhanced,LOC16-002050,,SOUTHWEST,5,AUSTIN FULL PURPOSE,ROADWAY,,,6900,WEST GATE BLVD,,2700,WILLIAM CANNON DR,,5149106,,"(30.207201, -97.8153915)",ONLINE,03/31/2018 08:30:00 AM +0000,-97.8153915,30.207201,,http://162.89.4.145/CCTVImages/CCTV8.jpg
9,ESCARPMENT BLVD / WILLIAM CANNON DR,TURNED_ON,11/16/2016,Spectra Enhanced,LOC16-002065,,SOUTHWEST,8,AUSTIN FULL PURPOSE,ROADWAY,,,6900,ESCARPMENT BLVD,,5901,WILLIAM CANNON DR,,5144930,,"(30.2299938, -97.8645477)",ONLINE,03/31/2018 08:30:00 AM +0000,-97.8645477,30.2299938,,http://162.89.4.145/CCTVImages/CCTV9.jpg
24,ANDERSON LN / NORTHCROSS DR,TURNED_ON,11/16/2016,Spectra Enhanced,LOC16-000460,,NORTHWEST,7,AUSTIN FULL PURPOSE,ROADWAY,,,2622,ANDERSON LN,,7822,NORTHCROSS DR,,5157696,,"(30.3583069, -97.7355347)",ONLINE,01/09/2018 03:32:00 AM +0000,-97.7355347,30.3583069,,http://162.89.4.145/CCTVImages/CCTV24.jpg
29,SH 71  / ROSS RD,TURNED_ON,,Sarix,LOC16-007030,,SOUTHEAST,,AUSTIN 2 MILE ETJ,ROADWAY,,,4436,SH 71,,4501,ROSS RD,,5168587,,"(30.186287, -97.609533)",ONLINE,01/09/2018 03:32:00 AM +0000,-97.609533,30.186287,,http://162.89.4.145/CCTVImages/CCTV29.jpg
31,BARTON SPRINGS RD / RIVERSIDE DR (OTC - NORTHWEST),TURNED_ON,,Sarix,LOC16-006990,OTC - NORTHWEST,SOUTHWEST,9,AUSTIN FULL PURPOSE,ROADWAY,,,400,BARTON SPRINGS RD,OTC - NORTHWEST,301,RIVERSIDE DR,,,,"(30.257478, -97.748989)",ONLINE,01/09/2018 03:32:00 AM +0000,-97.748989,30.257478,,http://162.89.4.145/CCTVImages/CCTV31.jpg
32,BARTON SPRINGS RD / RIVERSIDE DR (OTC - NORTHEAST),TURNED_ON,,Sarix,LOC16-006985,OTC - NORTHEAST,SOUTHWEST,9,AUSTIN FULL PURPOSE,ROADWAY,,,400,BARTON SPRINGS RD,OTC - NORTHEAST,301,RIVERSIDE DR,,,,"(30.257391, -97.749041)",OFFLINE,01/21/2018 03:30:00 PM +0000,-97.749041,30.257391,,http://162.89.4.145/CCTVImages/CCTV32.jpg
35,SAN JACINTO BLVD / 7TH ST (OMNI - NORTH),TURNED_ON,,Sarix,LOC16-006970,OMNI - NORTH,CENTRAL,9,AUSTIN FULL PURPOSE,ROADWAY,,,700,SAN JACINTO BLVD,,200,7TH ST,,,,"(30.269174, -97.740043)",ONLINE,01/09/2018 03:31:00 AM +0000,-97.740043,30.269174,,http://162.89.4.145/CCTVImages/CCTV35.jpg
37,LAMAR BLVD / SHOAL CREEK BLVD (LAMAR / 27TH),TURNED_ON,,Sarix,LOC16-006965,LAMAR / 27TH,CENTRAL,9,AUSTIN FULL PURPOSE,ROADWAY,,,2601,LAMAR BLVD,LAMAR / 27TH,2710,SHOAL CREEK BLVD,,,,"(30.292496, -97.747347)",ONLINE,01/09/2018 03:31:00 AM +0000,-97.747347,30.292496,,http://162.89.4.145/CCTVImages/CCTV37.jpg
38,TOOMEY RD / JESSIE ST (TOOMEY / JESSIE - BACK GATE),TURNED_ON,,Sarix,LOC16-006960,TOOMEY / JESSIE - BACK GATE,SOUTHWEST,5,AUSTIN FULL PURPOSE,ROADWAY,,,1300,TOOMEY RD,TOOMEY / JESSIE - BACK GATE,301,JESSIE ST,,,,"(30.263071, -97.75907)",ONLINE,01/09/2018 03:31:00 AM +0000,-97.75907,30.263071,,http://162.89.4.145/CCTVImages/CCTV38.jpg
39,CESAR CHAVEZ ST / SAN JACINTO BLVD (FOUR SEASONS - WEST),TURNED_ON,,Sarix,LOC16-006955,FOUR SEASONS - WEST,CENTRAL,9,AUSTIN FULL PURPOSE,ROADWAY,,,200,CESAR CHAVEZ ST,FOUR SEASONS - WEST,100,SAN JACINTO BLVD,,,,"(30.261807, -97.74283)",ONLINE,01/09/2018 03:31:00 AM +0000,-97.74283,30.261807,,http://162.89.4.145/CCTVImages/CCTV39.jpg
25,AIRPORT BLVD / 51ST ST,TURNED_ON,11/16/2016,Spectra Enhanced,LOC16-000845,,NORTHEAST,9,AUSTIN FULL PURPOSE,ROADWAY,,,5100,AIRPORT BLVD,,806,51ST ST,,5160367,,"(30.3120689, -97.7153397)",ONLINE,02/23/2018 03:30:00 PM +0000,-97.7153397,30.3120689,,http://162.89.4.145/CCTVImages/CCTV25.jpg
36,ELROY RD / HEINE FARM RD,TURNED_ON,,Sarix,LOC16-007025,,SOUTHEAST,2,AUSTIN 2 MILE ETJ,ROADWAY,,,7200,ELROY RD,,7113,HEINE FARM RD,,5167173,,"(30.153975, -97.639766)",ONLINE,02/24/2018 03:30:00 PM +0000,-97.639766,30.153975,,http://162.89.4.145/CCTVImages/CCTV36.jpg
26,IH 35 SVRD / ST JOHNS AVE (HOME DEPOT - DEPOT - WEST),REMOVED,10/02/2017,Axis,LOC16-007010,HOME DEPOT - DEPOT - WEST,NORTHEAST,4,AUSTIN FULL PURPOSE,ROADWAY,,,7200,IH 35 SVRD,HOME DEPOT - DEPOT - WEST,800,ST JOHNS AVE,,,,"(30.333519, -97.7025)",OFFLINE,01/11/2018 03:30:00 PM +0000,-97.7025,30.333519,,http://162.89.4.145/CCTVImages/CCTV26.jpg
27,IH 35 SVRD / ST JOHNS AVE (HOME DEPOT - DEPOT - INTERIOR),REMOVED,10/02/2017,Axis,LOC16-007005,HOME DEPOT - DEPOT - INTERIOR,NORTHEAST,4,AUSTIN FULL PURPOSE,ROADWAY,,,7200,IH 35 SVRD,HOME DEPOT - DEPOT - INTERIOR,800,ST JOHNS AVE,,,,"(30.333229, -97.701905)",OFFLINE,01/21/2018 03:30:00 PM +0000,-97.701905,30.333229,,http://162.89.4.145/CCTVImages/CCTV27.jpg
21,BURNET RD / JUSTIN LN,TURNED_ON,11/16/2016,Spectra Enhanced,LOC16-000400,,NORTHWEST,7,AUSTIN FULL PURPOSE,ROADWAY,,,6900,BURNET RD,,2301,JUSTIN LN,,5157450,,"(30.3453846, -97.7375259)",OFFLINE,03/04/2018 03:30:00 PM +0000,-97.7375259,30.3453846,,http://162.89.4.145/CCTVImages/CCTV21.jpg
30,3RD ST / BOWIE ST (SPRING CONDOS - WEST),TURNED_ON,03/08/2018,Sarix,LOC16-006995,SPRING CONDOS - WEST,CENTRAL,9,AUSTIN FULL PURPOSE,ROADWAY,,,900,3RD ST,SPRING CONDOS - WEST,300,BOWIE ST,,,,"(30.268963, -97.754318)",ONLINE,03/09/2018 03:30:00 PM +0000,-97.754318,30.268963,,http://162.89.4.145/CCTVImages/CCTV30.jpg
20,BURNET RD / PALM WAY (IBM DRIVEWAY),TURNED_ON,11/16/2016,Spectra Enhanced,LOC16-002270,IBM DRIVEWAY,NORTHWEST,7,AUSTIN FULL PURPOSE,ROADWAY,,,11700,BURNET RD,,2901,PALM WAY,,5159845,,"(30.4022865, -97.7176056)",ONLINE,03/19/2018 01:30:00 PM +0000,-97.7176056,30.4022865,,http://162.89.4.145/CCTVImages/CCTV20.jpg
22,BURNET RD / 45TH ST,TURNED_ON,11/16/2016,Spectra Enhanced,LOC16-000445,,CENTRAL,"10,7,9",AUSTIN FULL PURPOSE,ROADWAY,,,4500,BURNET RD,,1401,45TH ST,,5156974,,"(30.3154011, -97.7415695)",ONLINE,03/20/2018 01:30:00 PM +0000,-97.7415695,30.3154011,,http://162.89.4.145/CCTVImages/CCTV22.jpg
23,MANCHACA RD / BEN WHITE BLVD SVRD,TURNED_ON,11/16/2016,Spectra Enhanced,LOC16-002680,,SOUTHWEST,5,AUSTIN FULL PURPOSE,ROADWAY,,,4300,MANCHACA RD,,2000,BEN WHITE BLVD SVRD,,5151437,,"(30.23036, -97.7880554)",ONLINE,03/31/2018 08:30:00 AM +0000,-97.7880554,30.23036,,http://162.89.4.145/CCTVImages/CCTV23.jpg
40,CESAR CHAVEZ ST / SAN JACINTO BLVD (FOUR SEASONS - EAST),TURNED_ON,,Sarix,LOC16-006950,FOUR SEASONS - EAST,CENTRAL,9,AUSTIN FULL PURPOSE,ROADWAY,,,200,CESAR CHAVEZ ST,FOUR SEASONS - EAST,100,SAN JACINTO BLVD,,,,"(30.261684, -97.742403)",ONLINE,01/09/2018 03:31:00 AM +0000,-97.742403,30.261684,,http://162.89.4.145/CCTVImages/CCTV40.jpg
42,7000 BLK DECKER LN (EXPO CENTER DRIVEWAY),TURNED_ON,,Sarix,LOC16-006945,EXPO CENTER DRIVEWAY,NORTHEAST,1,AUSTIN FULL PURPOSE,ROADWAY,,,7000,DECKER LN,EXPO CENTER DRIVEWAY,,,,,,"(30.29682, -97.624578)",ONLINE,02/06/2018 03:30:00 PM +0000,-97.624578,30.29682,,http://162.89.4.145/CCTVImages/CCTV42.jpg
45,CIRCUIT OF THE AMERICAS BLVD / 812 RD (COTA SOUTH  GATE),TURNED_ON,09/27/2017,Sarix,LOC16-006930,COTA SOUTH  GATE,SOUTHEAST,2,AUSTIN 2 MILE ETJ,ROADWAY,,,9514,CIRCUIT OF THE AMERICAS BLVD,COTA SOUTH  GATE,12510,FM 812 RD,,5166789,,"(30.132037, -97.647147)",OFFLINE,01/16/2018 03:30:00 PM +0000,-97.647147,30.132037,,http://162.89.4.145/CCTVImages/CCTV45.jpg
47,CONGRESS AVE / WASSON RD,TURNED_ON,,Sarix,LOC16-006920,,SOUTHWEST,3,AUSTIN FULL PURPOSE,ROADWAY,,,4703,CONGRESS AVE,,5001,WASSON RD,,5153279,,"(30.210902, -97.771369)",OFFLINE,01/21/2018 03:30:00 PM +0000,-97.771369,30.210902,,http://162.89.4.145/CCTVImages/CCTV47.jpg
50,CESAR CHAVEZ ST / BRAZOS ST (BRAZOS GARAGE),TURNED_ON,,Axis,LOC16-006910,BRAZOS GARAGE,CENTRAL,9,AUSTIN FULL PURPOSE,ROADWAY,,,100,CESAR CHAVEZ ST,BRAZOS GARAGE,100,BRAZOS ST,,5256923,,"(30.263094, -97.743067)",ONLINE,01/09/2018 03:31:00 AM +0000,-97.743067,30.263094,,http://162.89.4.145/CCTVImages/CCTV50.jpg
51,CONGRESS AVE / 2ND ST (AUSTONIAN - SOUTHWEST),TURNED_ON,,Axis,LOC16-006905,AUSTONIAN - SOUTHWEST,CENTRAL,9,AUSTIN FULL PURPOSE,ROADWAY,,,200,CONGRESS AVE,AUSTONIAN - SOUTHWEST,101,2ND ST,,,,"(30.264593, -97.744895)",ONLINE,01/09/2018 03:31:00 AM +0000,-97.744895,30.264593,,http://162.89.4.145/CCTVImages/CCTV51.jpg
55,FM 973 RD / PEARCE LN,TURNED_ON,,Sarix,LOC16-005240,,SOUTHEAST,2,AUSTIN FULL PURPOSE,ROADWAY,,,4700,FM 973 RD,,10800,PEARCE LN,,5166703,,"(30.18069517, -97.64674967)",ONLINE,01/09/2018 03:32:00 AM +0000,-97.64674967,30.18069517,,http://162.89.4.145/CCTVImages/CCTV55.jpg
56,GUADALUPE ST / 15TH ST,TURNED_ON,,Sarix,LOC16-001080,,CENTRAL,9,AUSTIN FULL PURPOSE,ROADWAY,,,1500,GUADALUPE ST,,300,15TH ST,,5156901,,"(30.2779, -97.743)",ONLINE,01/09/2018 03:32:00 AM +0000,-97.743,30.2779,,http://162.89.4.145/CCTVImages/CCTV56.jpg
57,GUADALUPE ST / LAMAR BLVD,TURNED_ON,,Sarix,LOC16-000005,,CENTRAL,9,AUSTIN FULL PURPOSE,ROADWAY,,,4700,GUADALUPE ST,,4701,LAMAR BLVD,,5158418,11/05/2016 03:14:00 PM +0000,"(30.3166466, -97.7322464)",ONLINE,01/09/2018 03:32:00 AM +0000,-97.7322464,30.3166466,,http://162.89.4.145/CCTVImages/CCTV57.jpg
58,KOENIG LN / LAMAR BLVD,TURNED_ON,,Sarix,LOC16-000020,,NORTHEAST,"7,4",AUSTIN FULL PURPOSE,ROADWAY,,,600,KOENIG LN,,5630,LAMAR BLVD,,5159119,,"(30.325943, -97.7263336)",ONLINE,01/09/2018 03:32:00 AM +0000,-97.7263336,30.325943,,http://162.89.4.145/CCTVImages/CCTV58.jpg
59,AIRPORT BLVD / LAMAR BLVD,TURNED_ON,,Sarix,LOC16-000040,,NORTHEAST,"7,4",AUSTIN FULL PURPOSE,ROADWAY,,,7001,AIRPORT BLVD,,7001,LAMAR BLVD,,5159899,,"(30.3376293, -97.7188721)",ONLINE,01/09/2018 03:32:00 AM +0000,-97.7188721,30.3376293,,http://162.89.4.145/CCTVImages/CCTV59.jpg
60,AIRPORT BLVD / DENSON DR,TURNED_ON,,Sarix,LOC16-000080,,NORTHEAST,4,AUSTIN FULL PURPOSE,ROADWAY,,,6200,AIRPORT BLVD,,101,DENSON DR,,5160231,,"(30.3270321, -97.7160797)",OFFLINE,01/20/2018 03:30:00 PM +0000,-97.7160797,30.3270321,,http://162.89.4.145/CCTVImages/CCTV60.jpg
49,6600 BLK LAKEWOOD DR (BULL CREEK LOW WATER XING),TURNED_ON,,Sarix,LOC16-006915,BULL CREEK LOW WATER XING,NORTHWEST,10,AUSTIN FULL PURPOSE,ROADWAY,,,6600,LAKEWOOD DR,BULL CREEK LOW WATER XING,,,,,,"(30.366129, -97.787368)",OFFLINE,03/04/2018 03:30:00 PM +0000,-97.787368,30.366129,,http://162.89.4.145/CCTVImages/CCTV49.jpg
52,CONGRESS AVE / 2ND ST (AUSTONIAN - NORTHWEST),TURNED_ON,,Axis,LOC16-006900,AUSTONIAN - NORTHWEST,CENTRAL,9,AUSTIN FULL PURPOSE,ROADWAY,,,200,CONGRESS AVE,AUSTONIAN - NORTHWEST,101,2ND ST,,,,"(30.264923, -97.744886)",ONLINE,04/01/2018 08:30:00 AM +0000,-97.744886,30.264923,,http://162.89.4.145/CCTVImages/CCTV52.jpg
54,TOOMEY RD / JESSIE ST (ATD TOOMEY PARKING LOT),TURNED_ON,,Sarix,LOC16-006890,ATD TOOMEY PARKING LOT,SOUTHWEST,5,AUSTIN FULL PURPOSE,ROADWAY,,,1500,TOOMEY RD,TOOMEY PARKING LOT,301,JESSIE ST,,,,"(30.263474, -97.758894)",ONLINE,04/01/2018 08:30:00 AM +0000,-97.758894,30.263474,,http://162.89.4.145/CCTVImages/CCTV54.jpg
53,4TH ST / TRINITY ST,TURNED_ON,02/27/2018,Sarix,LOC16-006895,,CENTRAL,9,AUSTIN FULL PURPOSE,ROADWAY,,,300,4TH ST,,400,TRINITY ST,,5157405,,"(30.265235, -97.739986)",OFFLINE,04/06/2018 08:30:00 AM +0000,-97.739986,30.265235,,http://162.89.4.145/CCTVImages/CCTV53.jpg
62,BLK (NW Corner),TURNED_ON,06/26/2017,Sarix,LOC17-010385,NW Corner,CENTRAL,9,AUSTIN FULL PURPOSE,ROADWAY,,,,,,,,,5157068,06/26/2017 11:46:00 PM +0000,"(30.281803, -97.742011)",OFFLINE,01/20/2018 03:30:00 PM +0000,-97.742011,30.281803,,http://162.89.4.145/CCTVImages/CCTV62.jpg
63,LAVACA ST / MARTIN LUTHER KING JR BLVD,TURNED_ON,,Sarix,LOC16-000115,,CENTRAL,9,AUSTIN FULL PURPOSE,ROADWAY,,,1800,LAVACA ST,,301,MARTIN LUTHER KING JR BLVD,,5157273,,"(30.2813282, -97.740509)",ONLINE,01/09/2018 03:32:00 AM +0000,-97.740509,30.2813282,,http://162.89.4.145/CCTVImages/CCTV63.jpg
64,MARTIN LUTHER KING JR BLVD / CONGRESS AVE,TURNED_ON,10/09/2017,Sarix,LOC16-000120,,CENTRAL,"1,9",AUSTIN FULL PURPOSE,ROADWAY,,,100,MARTIN LUTHER KING JR BLVD,,1800,CONGRESS AVE,,5157629,,"(30.2806873, -97.7381058)",ONLINE,01/09/2018 03:32:00 AM +0000,-97.7381058,30.2806873,,http://162.89.4.145/CCTVImages/CCTV64.jpg
65,MARTIN LUTHER KING JR BLVD / TRINITY ST,TURNED_ON,,Sarix,LOC16-000130,,CENTRAL,1,AUSTIN FULL PURPOSE,ROADWAY,,,312,MARTIN LUTHER KING JR BLVD,,1900,TRINITY ST,,5158219,,"(30.2796383, -97.7345123)",ONLINE,01/09/2018 03:31:00 AM +0000,-97.7345123,30.2796383,,http://162.89.4.145/CCTVImages/CCTV65.jpg
66,MARTIN LUTHER KING JR BLVD / RED RIVER ST,TURNED_ON,,Sarix,LOC16-000135,,CENTRAL,1,AUSTIN FULL PURPOSE,ROADWAY,,,400,MARTIN LUTHER KING JR BLVD,,1900,RED RIVER ST,,5158551,,"(30.2789745, -97.732193)",ONLINE,01/09/2018 03:31:00 AM +0000,-97.732193,30.2789745,,http://162.89.4.145/CCTVImages/CCTV66.jpg
67,MARTIN LUTHER KING JR BLVD / 35 SVRD,TURNED_ON,,Sarix,LOC16-000170,,CENTRAL,1,AUSTIN FULL PURPOSE,ROADWAY,,,600,MARTIN LUTHER KING JR BLVD,,1900,IH 35 SVRD,,5158756,,"(30.2785587, -97.730484)",ONLINE,01/09/2018 03:31:00 AM +0000,-97.730484,30.2785587,,http://162.89.4.145/CCTVImages/CCTV67.jpg
70,DEAN KEETON ST / GUADALUPE ST,TURNED_ON,,Sarix,LOC16-000200,,CENTRAL,9,AUSTIN FULL PURPOSE,ROADWAY,,,300,DEAN KEETON ST,,2520,GUADALUPE ST,,5157120,,"(30.289814, -97.7413559)",ONLINE,01/09/2018 03:31:00 AM +0000,-97.7413559,30.289814,,http://162.89.4.145/CCTVImages/CCTV70.jpg
74,DEAN KEETON ST / SAN JACINTO BLVD,TURNED_ON,,Sarix,LOC16-000265,,CENTRAL,9,AUSTIN FULL PURPOSE,ROADWAY,,,400,DEAN KEETON ST,,2600,SAN JACINTO BLVD,,5158159,,"(30.2893162, -97.7346115)",ONLINE,01/09/2018 03:31:00 AM +0000,-97.7346115,30.2893162,,http://162.89.4.145/CCTVImages/CCTV74.jpg
75,38TH HALF ST / 35 SVRD,TURNED_ON,,Sarix,LOC16-000315,,CENTRAL,9,AUSTIN FULL PURPOSE,ROADWAY,,,1014,38TH HALF ST,,3820,IH 35 SVRD,,5159923,,"(30.294981, -97.7197723)",ONLINE,01/12/2018 03:30:00 PM +0000,-97.7197723,30.294981,,http://162.89.4.145/CCTVImages/CCTV75.jpg
76,38TH HALF ST / 35 SVRD,TURNED_ON,,Sarix,LOC16-000315,,CENTRAL,9,AUSTIN FULL PURPOSE,ROADWAY,,,1014,38TH HALF ST,,3820,IH 35 SVRD,,5159923,,"(30.294981, -97.7197723)",ONLINE,01/12/2018 03:30:00 PM +0000,-97.7197723,30.294981,,http://162.89.4.145/CCTVImages/CCTV76.jpg
77,RED RIVER ST / 38TH HALF ST,TURNED_ON,,Sarix,LOC16-000335,,CENTRAL,9,AUSTIN FULL PURPOSE,ROADWAY,,,3808,RED RIVER ST,,800,38TH HALF ST,,5159542,,"(30.2965431, -97.7231445)",ONLINE,01/09/2018 03:31:00 AM +0000,-97.7231445,30.2965431,,http://162.89.4.145/CCTVImages/CCTV77.jpg
78,DEAN KEETON ST / RED RIVER ST,TURNED_ON,,Sarix,LOC16-000345,,CENTRAL,"1,9",AUSTIN FULL PURPOSE,ROADWAY,,,928,DEAN KEETON ST,,2200,RED RIVER ST,,5159198,,"(30.2871666, -97.7267456)",ONLINE,01/09/2018 03:31:00 AM +0000,-97.7267456,30.2871666,,http://162.89.4.145/CCTVImages/CCTV78.jpg
